Year,Afghanistan,Afghanistan CI (Low),Afghanistan CI (High),Iraq,Iraq CI (Low),Iraq CI (High),Libya,Libya CI (Low),Libya CI (High),Panama,Panama CI (Low),Panama CI (High)
1900,0.025,0.013,0.032,null,null,null,null,null,null,null,null,null
1901,0.025,0.013,0.032,null,null,null,null,null,null,null,null,null
1902,0.031,0.019,0.04,null,null,null,null,null,null,null,null,null
1903,0.031,0.02,0.04,null,null,null,null,null,null,0.088,0.072,0.106
1904,0.031,0.02,0.04,null,null,null,null,null,null,0.125,0.101,0.146
1905,0.031,0.02,0.04,null,null,null,null,null,null,0.148,0.119,0.172
1906,0.031,0.02,0.04,null,null,null,null,null,null,0.147,0.12,0.172
1907,0.031,0.02,0.04,null,null,null,null,null,null,0.146,0.121,0.171
1908,0.031,0.02,0.04,null,null,null,null,null,null,0.146,0.122,0.173
1909,0.031,0.02,0.04,null,null,null,null,null,null,0.146,0.124,0.175
1910,0.032,0.02,0.041,null,null,null,null,null,null,0.125,0.105,0.149
1911,0.032,0.02,0.041,null,null,null,null,null,null,0.126,0.105,0.149
1912,0.032,0.02,0.041,null,null,null,null,null,null,0.125,0.104,0.148
1913,0.032,0.02,0.041,null,null,null,null,null,null,0.145,0.12,0.17
1914,0.032,0.02,0.041,null,null,null,null,null,null,0.146,0.12,0.17
1915,0.032,0.02,0.041,null,null,null,null,null,null,0.147,0.121,0.171
1916,0.032,0.02,0.041,null,null,null,null,null,null,0.147,0.122,0.172
1917,0.032,0.02,0.041,null,null,null,null,null,null,0.148,0.119,0.169
1918,0.032,0.02,0.041,null,null,null,null,null,null,0.148,0.12,0.171
1919,0.035,0.021,0.044,null,null,null,null,null,null,0.153,0.126,0.179
1920,0.044,0.032,0.056,0.107,0.095,0.123,null,null,null,0.153,0.128,0.181
1921,0.044,0.032,0.057,0.108,0.093,0.121,null,null,null,0.154,0.13,0.184
1922,0.044,0.031,0.054,0.113,0.098,0.127,null,null,null,0.154,0.13,0.184
1923,0.061,0.044,0.075,0.113,0.098,0.127,null,null,null,0.154,0.13,0.184
1924,0.072,0.056,0.089,0.113,0.097,0.127,null,null,null,0.154,0.127,0.18
1925,0.071,0.056,0.089,0.139,0.121,0.158,null,null,null,0.156,0.126,0.179
1926,0.071,0.056,0.089,0.16,0.142,0.181,null,null,null,0.156,0.126,0.179
1927,0.071,0.05,0.084,0.16,0.139,0.178,null,null,null,0.156,0.126,0.179
1928,0.071,0.05,0.084,0.16,0.142,0.18,null,null,null,0.16,0.133,0.186
1929,0.07,0.053,0.085,0.16,0.142,0.18,null,null,null,0.163,0.135,0.189
1930,0.065,0.048,0.078,0.161,0.142,0.18,null,null,null,0.161,0.132,0.186
1931,0.067,0.05,0.081,0.161,0.141,0.18,null,null,null,0.154,0.129,0.181
1932,0.062,0.047,0.078,0.159,0.142,0.18,null,null,null,0.159,0.134,0.186
1933,0.065,0.049,0.08,0.166,0.146,0.186,null,null,null,0.156,0.133,0.184
1934,0.068,0.049,0.08,0.165,0.143,0.182,0.007,0.003,0.01,0.156,0.133,0.184
1935,0.068,0.049,0.08,0.165,0.143,0.182,0.007,0.003,0.01,0.156,0.133,0.184
1936,0.068,0.049,0.08,0.165,0.144,0.183,0.007,0.003,0.01,0.162,0.136,0.189
1937,0.067,0.048,0.079,0.164,0.144,0.184,0.007,0.003,0.01,0.164,0.136,0.19
1938,0.067,0.05,0.081,0.165,0.147,0.187,0.007,0.003,0.01,0.164,0.136,0.19
1939,0.067,0.05,0.081,0.165,0.147,0.186,0.007,0.003,0.01,0.164,0.136,0.19
1940,0.068,0.051,0.083,0.167,0.15,0.189,0.008,0.003,0.011,0.164,0.134,0.19
1941,0.068,0.051,0.083,0.165,0.145,0.183,0.009,0.004,0.013,0.15,0.121,0.175
1942,0.068,0.051,0.083,0.165,0.146,0.184,null,null,null,0.158,0.133,0.186
1943,0.067,0.05,0.082,0.165,0.146,0.184,null,null,null,0.158,0.133,0.186
1944,0.067,0.05,0.082,0.165,0.146,0.184,null,null,null,0.158,0.133,0.186
1945,0.067,0.05,0.082,0.161,0.144,0.183,null,null,null,0.143,0.118,0.165
1946,0.068,0.049,0.081,0.161,0.14,0.182,null,null,null,0.111,0.089,0.127
1947,0.068,0.05,0.081,0.163,0.139,0.181,null,null,null,0.139,0.118,0.163
1948,0.068,0.05,0.081,0.163,0.139,0.181,null,null,null,0.165,0.139,0.193
1949,0.069,0.051,0.083,0.163,0.144,0.186,null,null,null,0.169,0.139,0.195
1950,0.069,0.051,0.083,0.162,0.144,0.184,null,null,null,0.177,0.145,0.201
1951,0.069,0.051,0.083,0.162,0.145,0.184,0.076,0.06,0.093,0.164,0.136,0.185
1952,0.068,0.049,0.081,0.163,0.142,0.181,0.105,0.087,0.127,0.161,0.134,0.183
1953,0.067,0.05,0.081,0.172,0.152,0.194,0.107,0.087,0.124,0.2,0.168,0.235
1954,0.066,0.048,0.08,0.166,0.147,0.188,0.111,0.091,0.13,0.2,0.168,0.235
1955,0.067,0.049,0.08,0.182,0.16,0.205,0.121,0.1,0.139,0.2,0.168,0.235
1956,0.067,0.049,0.08,0.182,0.16,0.205,0.127,0.106,0.146,0.203,0.168,0.233
1957,0.067,0.049,0.08,0.182,0.16,0.205,0.127,0.105,0.145,0.203,0.169,0.233
1958,0.067,0.051,0.082,0.128,0.108,0.147,0.127,0.105,0.145,0.203,0.169,0.233
1959,0.067,0.051,0.082,0.079,0.063,0.094,0.127,0.105,0.145,0.203,0.169,0.233
1960,0.067,0.048,0.079,0.079,0.062,0.093,0.127,0.104,0.144,0.207,0.171,0.238
1961,0.067,0.049,0.08,0.076,0.061,0.091,0.128,0.106,0.145,0.209,0.174,0.241
1962,0.067,0.048,0.079,0.076,0.06,0.091,0.128,0.106,0.145,0.209,0.174,0.241
1963,0.071,0.053,0.086,0.056,0.042,0.069,0.135,0.112,0.153,0.209,0.174,0.241
1964,0.092,0.068,0.107,0.066,0.054,0.084,0.134,0.115,0.156,0.19,0.159,0.218
1965,0.096,0.073,0.113,0.069,0.054,0.083,0.135,0.113,0.155,0.184,0.155,0.21
1966,0.098,0.073,0.114,0.069,0.054,0.083,0.135,0.113,0.155,0.183,0.156,0.212
