"Year","Country","LD_Index","t_event"
1979,"Panama",0.078,-10
1980,"Panama",0.078,-9
1981,"Panama",0.073,-8
1982,"Panama",0.069,-7
1983,"Panama",0.069,-6
1984,"Panama",0.074,-5
1985,"Panama",0.074,-4
1986,"Panama",0.07,-3
1987,"Panama",0.07,-2
1988,"Panama",0.07,-1
1989,"Panama",0.073,0
1990,"Panama",0.369,1
1991,"Afghanistan",0.041,-10
1991,"Panama",0.506,2
1992,"Afghanistan",0.031,-9
1992,"Panama",0.517,3
1993,"Afghanistan",0.022,-8
1993,"Iraq",0.059,-10
1993,"Panama",0.521,4
1994,"Afghanistan",0.022,-7
1994,"Iraq",0.06,-9
1994,"Panama",0.535,5
1995,"Afghanistan",0.022,-6
1995,"Iraq",0.062,-8
1995,"Panama",0.536,6
1996,"Afghanistan",0.019,-5
1996,"Iraq",0.07,-7
1996,"Panama",0.536,7
1997,"Afghanistan",0.022,-4
1997,"Iraq",0.07,-6
1997,"Panama",0.536,8
1998,"Afghanistan",0.022,-3
1998,"Iraq",0.07,-5
1998,"Panama",0.528,9
1999,"Afghanistan",0.022,-2
1999,"Iraq",0.07,-4
1999,"Panama",0.527,10
2000,"Afghanistan",0.022,-1
2000,"Iraq",0.069,-3
2001,"Afghanistan",0.029,0
2001,"Iraq",0.069,-2
2001,"Libya",0.046,-10
2002,"Afghanistan",0.084,1
2002,"Iraq",0.096,-1
2002,"Libya",0.046,-9
2003,"Afghanistan",0.086,2
2003,"Iraq",0.12,0
2003,"Libya",0.041,-8
2004,"Afghanistan",0.091,3
2004,"Iraq",0.119,1
2004,"Libya",0.041,-7
2005,"Afghanistan",0.113,4
2005,"Iraq",0.122,2
2005,"Libya",0.041,-6
2006,"Afghanistan",0.199,5
2006,"Iraq",0.253,3
2006,"Libya",0.041,-5
2007,"Afghanistan",0.2,6
2007,"Iraq",0.281,4
2007,"Libya",0.042,-4
2008,"Afghanistan",0.202,7
2008,"Iraq",0.282,5
2008,"Libya",0.041,-3
2009,"Afghanistan",0.198,8
2009,"Iraq",0.282,6
2009,"Libya",0.041,-2
2010,"Afghanistan",0.196,9
2010,"Iraq",0.276,7
2010,"Libya",0.043,-1
2011,"Afghanistan",0.199,10
2011,"Iraq",0.271,8
2011,"Libya",0.061,0
2012,"Iraq",0.27,9
2012,"Libya",0.207,1
2013,"Iraq",0.258,10
2013,"Libya",0.299,2
2014,"Libya",0.173,3
2015,"Libya",0.17,4
2016,"Libya",0.168,5
2017,"Libya",0.164,6
2018,"Libya",0.15,7
2019,"Libya",0.147,8
2020,"Libya",0.144,9
2021,"Libya",0.125,10
