"Entity","Code","Year","State.Capacity.Index","norm_sci","t_event"
"Afghanistan","AFG",1991,-1.446,0.16382252559727,-10
"Afghanistan","AFG",1992,-1.914,0.0750853242320819,-9
"Afghanistan","AFG",1993,-2.029,0.0532802427000379,-8
"Afghanistan","AFG",1994,-2.029,0.0532802427000379,-7
"Afghanistan","AFG",1995,-1.671,0.121160409556314,-6
"Afghanistan","AFG",1996,-1.143,0.22127417519909,-5
"Afghanistan","AFG",1997,-1.1,0.229427379598028,-4
"Afghanistan","AFG",1998,-1.11,0.227531285551763,-3
"Afghanistan","AFG",1999,-1.119,0.225824800910125,-2
"Afghanistan","AFG",2000,-1.184,0.213500189609405,-1
"Afghanistan","AFG",2001,-1.281,0.195108077360637,0
"Afghanistan","AFG",2002,-1.332,0.185437997724687,1
"Afghanistan","AFG",2003,-1.803,0.09613196814562,2
"Afghanistan","AFG",2004,-1.826,0.0917709518392112,3
"Afghanistan","AFG",2005,-1.777,0.101061812665908,4
"Afghanistan","AFG",2006,-1.714,0.113007205157376,5
"Afghanistan","AFG",2007,-1.667,0.12191884717482,6
"Afghanistan","AFG",2008,-1.457,0.161736822146378,7
"Afghanistan","AFG",2009,-1.327,0.18638604474782,8
"Afghanistan","AFG",2010,-1.268,0.197572999620781,9
"Afghanistan","AFG",2011,-1.225,0.205726204019719,10
"Iraq","IRQ",1993,-0.3751,0.366875237011756,-10
"Iraq","IRQ",1994,-0.3456,0.372468714448237,-9
"Iraq","IRQ",1995,-0.3782,0.366287447857414,-8
"Iraq","IRQ",1996,-0.3819,0.365585893060296,-7
"Iraq","IRQ",1997,-0.4205,0.358266970041714,-6
"Iraq","IRQ",1998,-0.4465,0.353337125521426,-5
"Iraq","IRQ",1999,-0.4477,0.353109594235874,-4
"Iraq","IRQ",2000,-0.4336,0.355783086841107,-3
"Iraq","IRQ",2001,-0.4289,0.356674251042852,-2
"Iraq","IRQ",2002,-0.5942,0.325331816458096,-1
"Iraq","IRQ",2003,-0.7012,0.305043610163064,0
"Iraq","IRQ",2004,-1.136,0.222601441031475,1
"Iraq","IRQ",2005,-0.9886,0.250549867273417,2
"Iraq","IRQ",2006,-1.213,0.208001516875237,3
"Iraq","IRQ",2007,-1.053,0.238339021615472,4
"Iraq","IRQ",2008,-0.8514,0.276564277588168,5
"Iraq","IRQ",2009,-0.9357,0.260580204778157,6
"Iraq","IRQ",2010,-0.7928,0.287675388699279,7
"Iraq","IRQ",2011,-0.6948,0.306257110352674,8
"Iraq","IRQ",2012,-0.6288,0.31877133105802,9
"Iraq","IRQ",2013,-0.7231,0.300891164201744,10
"Libya","LBY",2001,-0.5143,0.340481607887751,-10
"Libya","LBY",2002,-0.1729,0.405214258627228,-9
"Libya","LBY",2003,-0.5033,0.342567311338642,-8
"Libya","LBY",2004,-0.713,0.302806219188472,-7
"Libya","LBY",2005,-0.5618,0.331475161167994,-6
"Libya","LBY",2006,-0.3312,0.375199089874858,-5
"Libya","LBY",2007,-0.2043,0.399260523321957,-4
"Libya","LBY",2008,-0.09148,0.420652256351915,-3
"Libya","LBY",2009,-0.1029,0.418486916951081,-2
"Libya","LBY",2010,-0.183,0.403299203640501,-1
"Libya","LBY",2011,-0.6337,0.317842244975351,0
"Libya","LBY",2012,-0.5332,0.336897990140311,1
"Libya","LBY",2013,-0.6612,0.312627986348123,2
"Libya","LBY",2014,-0.8898,0.269283276450512,3
"Libya","LBY",2015,-1.352,0.181645809632158,4
"Panama","PAN",1979,-0.4551,0.351706484641638,-10
"Panama","PAN",1980,-0.4056,0.361092150170648,-9
"Panama","PAN",1981,-0.3354,0.374402730375427,-8
"Panama","PAN",1982,-0.4389,0.354778156996587,-7
"Panama","PAN",1983,-0.4054,0.361130072051574,-6
"Panama","PAN",1984,-0.3802,0.365908229048161,-5
"Panama","PAN",1985,-0.3724,0.367387182404247,-4
"Panama","PAN",1986,-0.4588,0.35100492984452,-3
"Panama","PAN",1987,-0.4219,0.358001516875237,-2
"Panama","PAN",1988,-0.4747,0.347990140310959,-1
"Panama","PAN",1989,-0.5438,0.33488813045127,0
"Panama","PAN",1990,-0.1324,0.4128934395146,1
"Panama","PAN",1991,-0.07424,0.423921122487675,2
"Panama","PAN",1992,-0.08207,0.42243648084945,3
"Panama","PAN",1993,-0.02588,0.433090633295411,4
"Panama","PAN",1994,0.09245,0.455527114144862,5
"Panama","PAN",1995,0.232,0.481987106560485,6
"Panama","PAN",1996,0.2023,0.476355707243079,7
"Panama","PAN",1997,0.2649,0.488225255972696,8
"Panama","PAN",1998,0.2314,0.48187334091771,9
"Panama","PAN",1999,0.2896,0.49290860826697,10
